tot_emd,to_ga_001,to_ga_002,ga_sd_001,ga_sd_002,ga_sd_003,ga_sd_004,ga_sd_005,ga_sd_006,ga_sd_999
31150510,11864,2.53,2131,5982,452,0,3081,81,0
31150520,14102,2.49,2206,7268,581,0,3769,130,0
31150530,3884,2.49,885,1879,170,0,876,24,0
31150540,16388,2.79,2516,10124,583,0,2890,73,0
31150550,4654,2.53,889,2370,204,0,1110,35,0
31150560,15913,2.58,2899,8603,513,0,3588,137,0
31150590,801,2.14,238,201,29,0,314,14,0
31150610,4389,2.74,651,2682,158,0,752,93,0
31150611,7574,2.39,1043,3630,224,0,2460,147,0
31150620,7960,2.1,1089,2930,199,0,3389,300,0
31150621,1837,2.91,296,1152,113,0,256,6,0
31150640,12236,1.61,1488,2470,97,0,7297,807,0
31150650,11149,2.18,1518,3543,213,0,5189,601,0
31150670,6528,2.47,1040,3269,211,0,1888,58,0
31150680,8495,2.58,1459,4414,399,0,1994,150,0
31150690,6212,2.31,1082,2627,231,0,2036,176,0
31150700,8088,2.81,1372,4787,348,0,1448,21,0
31150710,5391,3.04,719,3775,193,0,615,7,0
31150720,7066,2.91,1091,4569,335,0,952,39,0
31150730,24203,2.65,3485,13731,688,0,5700,327,0
31160510,12896,2.43,2130,5962,513,0,3943,192,0
31160520,18051,2.85,2985,10994,884,0,2912,86,0
31160540,7551,2.05,1254,2942,173,0,2982,115,0
31160550,9214,2.86,1615,5729,402,0,1325,38,0
31160560,7331,2.25,1202,3130,245,0,2538,165,0
31160570,7752,2.38,1513,3674,273,0,2117,83,0
31160580,8188,2.63,1612,4671,241,0,1523,28,0
31160590,6721,2.42,1339,3233,214,0,1804,60,0
31160600,6608,3.01,987,4528,327,0,688,0,0
31160610,9561,2.54,1530,4997,352,0,2518,69,0
31160620,6713,2.62,1313,3682,241,0,1379,37,0
31170510,4155,2.89,871,2105,296,0,794,47,0
31170520,10467,2.56,1945,5331,459,0,2508,136,0
31170530,12841,2.83,2399,7714,688,0,1869,70,0
31170540,7760,2.58,1394,4135,283,0,1802,84,0
31170550,11037,2.59,1882,6077,426,0,2437,97,0
31170560,10801,2.51,2119,5417,419,0,2658,78,0
